2-88,13-89
12-94,12-94
34-69,34-61
9-76,9-9
35-82,34-52
9-10,10-88
57-71,71-75
50-71,71-91
44-67,43-43
68-69,67-68
6-47,6-48
6-52,7-67
43-51,40-44
56-67,57-69
94-94,68-94
10-97,9-9
40-95,40-98
22-81,22-22
7-58,7-59
8-82,82-82
22-27,23-44
5-27,7-28
11-75,11-75
7-90,99-99
65-89,65-66
24-52,29-53
41-57,27-58
14-95,13-26
27-34,26-75
18-33,33-56
21-95,21-95
20-29,69-71
81-81,23-90
47-83,47-82
28-50,86-98
50-76,21-50
3-69,64-79
17-97,10-16
54-92,10-93
7-75,45-77
72-72,42-73
13-80,81-87
25-26,25-64
38-48,38-38
2-99,2-99
48-93,67-92
12-85,2-94
14-75,7-82
29-46,23-29
50-94,4-51
3-37,37-91
24-91,91-91
25-48,44-47
2-77,1-26
1-58,1-21
16-93,16-93
3-99,8-98
23-23,6-23
17-67,68-68
4-15,1-4
35-41,35-40
6-88,52-89
11-48,11-61
4-64,12-65
7-90,7-8
1-89,6-73
64-69,38-70
26-67,59-66
41-54,16-42
2-99,9-96
2-8,7-88
12-95,97-97
17-92,12-93
27-56,27-28
19-66,65-77
1-95,94-94
24-48,23-95
40-74,74-74
20-99,20-97
60-73,61-74
23-85,23-86
37-69,69-69
37-64,27-37
7-53,7-27
84-97,93-94
26-51,50-52
12-93,13-93
28-86,29-29
11-25,18-46
97-99,91-98
27-73,53-58
25-77,6-26
26-29,29-68
11-17,11-28
99-99,13-99
70-92,48-92
50-61,50-62
2-95,77-94
17-17,17-90
95-95,16-95
12-96,13-97
28-98,28-28
18-91,3-80
1-95,1-19
86-89,22-89
37-96,3-96
2-18,18-56
8-72,71-73
46-48,32-47
57-69,57-78
10-22,9-9
6-96,6-6
44-58,5-59
6-8,7-93
76-95,77-99
97-99,3-98
69-69,64-69
38-68,67-96
68-74,67-95
20-68,69-69
6-88,9-85
47-66,47-55
9-94,93-95
19-29,28-89
4-83,90-90
2-95,1-95
36-37,36-36
12-90,45-68
1-80,89-94
95-99,6-96
1-1,2-95
47-81,46-80
1-57,38-47
5-7,7-98
18-75,18-94
39-70,39-70
62-93,62-62
30-32,31-54
22-82,82-84
83-92,84-98
54-93,6-94
74-91,73-90
11-90,11-90
92-98,96-97
13-73,55-69
47-95,46-95
11-97,11-99
53-68,53-53
45-89,45-46
99-99,38-89
14-88,96-96
6-78,6-7
31-67,67-67
96-96,48-96
40-69,25-39
10-60,9-61
38-97,78-93
52-69,51-60
21-72,21-33
24-90,89-90
36-83,84-84
44-58,44-68
95-95,82-94
13-91,91-95
27-95,94-96
